tile,tp,fp,fn,tn,iou,precision,recall,f1
chimanimani_s2_1264.h5,0,15116,0,1268,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1019.h5,14,13832,1,2537,0.0010,0.0010,0.9333,0.0020
chimanimani_s2_1223.h5,304,13603,0,2477,0.0219,0.0219,1.0000,0.0428
chimanimani_s2_1223.h5,1052,12431,6,2895,0.0780,0.0780,0.9943,0.1447
chimanimani_s2_1390.h5,2707,11738,0,1939,0.1874,0.1874,1.0000,0.3156
chimanimani_s2_1295.h5,0,11589,0,4795,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_126.h5,2273,11429,0,2682,0.1659,0.1659,1.0000,0.2846
chimanimani_s2_1222.h5,995,10514,69,4806,0.0859,0.0865,0.9352,0.1583
chimanimani_s2_1041.h5,419,9602,396,5967,0.0402,0.0418,0.5141,0.0773
chimanimani_s2_126.h5,521,9670,309,5884,0.0496,0.0511,0.6277,0.0945
chimanimani_s2_1019.h5,1159,9664,2,5559,0.1071,0.1071,0.9983,0.1934
chimanimani_s2_1264.h5,3483,9478,178,3245,0.2651,0.2687,0.9514,0.4191
chimanimani_s2_1041.h5,409,9055,75,6845,0.0429,0.0432,0.8450,0.0822
chimanimani_s2_1264.h5,451,8621,93,7219,0.0492,0.0497,0.8290,0.0938
chimanimani_s2_126.h5,125,8665,11,7583,0.0142,0.0142,0.9191,0.0280
chimanimani_s2_1223.h5,576,8405,262,7141,0.0623,0.0641,0.6874,0.1173
chimanimani_s2_1390.h5,304,8345,205,7530,0.0343,0.0351,0.5972,0.0664
chimanimani_s2_1295.h5,2205,6006,2300,5873,0.2098,0.2685,0.4895,0.3468
chimanimani_s2_1223.h5,187,8131,0,8066,0.0225,0.0225,1.0000,0.0440
chimanimani_s2_1222.h5,4470,7481,300,4133,0.3649,0.3740,0.9371,0.5347
chimanimani_s2_1295.h5,4108,7345,230,4701,0.3516,0.3587,0.9470,0.5203
chimanimani_s2_1041.h5,119,7523,0,8742,0.0156,0.0156,1.0000,0.0307
chimanimani_s2_1222.h5,1341,7487,10,7546,0.1517,0.1519,0.9926,0.2635
chimanimani_s2_1019.h5,659,6967,171,8587,0.0845,0.0864,0.7940,0.1559
chimanimani_s2_1390.h5,1076,6330,780,8198,0.1314,0.1453,0.5797,0.2323
chimanimani_s2_1295.h5,387,6796,229,8972,0.0522,0.0539,0.6282,0.0992
chimanimani_s2_1264.h5,688,7009,13,8674,0.0892,0.0894,0.9815,0.1638
chimanimani_s2_1019.h5,2073,5163,1498,7650,0.2373,0.2865,0.5805,0.3836
chimanimani_s2_1019.h5,420,6537,3,9424,0.0603,0.0604,0.9929,0.1138
chimanimani_s2_126.h5,2308,428,6104,7544,0.2611,0.8436,0.2744,0.4141
chimanimani_s2_1264.h5,3065,1144,5350,6825,0.3206,0.7282,0.3642,0.4856
chimanimani_s2_1264.h5,1176,5733,688,8787,0.1548,0.1702,0.6309,0.2681
chimanimani_s2_126.h5,676,5170,1058,9480,0.0979,0.1156,0.3899,0.1784
chimanimani_s2_126.h5,1404,5587,437,8956,0.1890,0.2008,0.7626,0.3179
chimanimani_s2_1222.h5,2497,5349,640,7898,0.2942,0.3183,0.7960,0.4547
chimanimani_s2_1390.h5,1369,1233,4720,9062,0.1870,0.5261,0.2248,0.3150
chimanimani_s2_1041.h5,972,5175,688,9549,0.1422,0.1581,0.5855,0.2490
chimanimani_s2_1041.h5,228,5837,10,10309,0.0375,0.0376,0.9580,0.0723
chimanimani_s2_1390.h5,62,5817,0,10505,0.0105,0.0105,1.0000,0.0209
chimanimani_s2_1222.h5,607,5772,24,9981,0.0948,0.0952,0.9620,0.1732
chimanimani_s2_1390.h5,1548,5081,711,9044,0.2109,0.2335,0.6853,0.3483
chimanimani_s2_1390.h5,492,669,5051,10172,0.0792,0.4238,0.0888,0.1468
chimanimani_s2_1222.h5,106,5702,10,10566,0.0182,0.0183,0.9138,0.0358
chimanimani_s2_126.h5,1232,5660,20,9472,0.1782,0.1788,0.9840,0.3026
chimanimani_s2_1390.h5,0,5630,0,10754,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1222.h5,2794,3866,1759,7965,0.3319,0.4195,0.6137,0.4984
chimanimani_s2_1222.h5,165,4753,818,10648,0.0288,0.0336,0.1679,0.0559
chimanimani_s2_1041.h5,8064,5524,3,2793,0.5933,0.5935,0.9996,0.7448
chimanimani_s2_1222.h5,485,5402,107,10390,0.0809,0.0824,0.8193,0.1497
chimanimani_s2_1222.h5,263,5323,59,10739,0.0466,0.0471,0.8168,0.0890
chimanimani_s2_1295.h5,2904,1967,3389,8124,0.3516,0.5962,0.4615,0.5202
chimanimani_s2_1223.h5,514,5032,292,10546,0.0880,0.0927,0.6377,0.1618
chimanimani_s2_126.h5,1718,4854,435,9377,0.2452,0.2614,0.7980,0.3938
chimanimani_s2_1223.h5,139,4630,646,10969,0.0257,0.0291,0.1771,0.0501
chimanimani_s2_1041.h5,135,5083,168,10998,0.0251,0.0259,0.4455,0.0489
chimanimani_s2_1041.h5,1985,824,4423,9152,0.2745,0.7067,0.3098,0.4307
chimanimani_s2_1223.h5,3061,2194,3023,8106,0.3698,0.5825,0.5031,0.5399
chimanimani_s2_1041.h5,184,5215,0,10985,0.0341,0.0341,1.0000,0.0659
chimanimani_s2_1264.h5,1949,3385,1721,9329,0.2763,0.3654,0.5311,0.4329
chimanimani_s2_1019.h5,2849,916,4173,8446,0.3589,0.7567,0.4057,0.5282
chimanimani_s2_1390.h5,4125,3078,1980,7201,0.4492,0.5727,0.6757,0.6199
chimanimani_s2_1295.h5,1553,2963,2076,9792,0.2356,0.3439,0.4279,0.3813
chimanimani_s2_1390.h5,55,4975,32,11322,0.0109,0.0109,0.6322,0.0215
chimanimani_s2_1223.h5,1385,3895,1057,10047,0.2186,0.2623,0.5672,0.3587
chimanimani_s2_1390.h5,3954,4768,145,7517,0.4459,0.4533,0.9646,0.6168
chimanimani_s2_1295.h5,13,4897,13,11461,0.0026,0.0026,0.5000,0.0053
chimanimani_s2_1019.h5,67,4754,138,11425,0.0135,0.0139,0.3268,0.0267
chimanimani_s2_1390.h5,2731,2243,2555,8855,0.3627,0.5491,0.5166,0.5324
chimanimani_s2_126.h5,1755,2686,2109,9834,0.2679,0.3952,0.4542,0.4226
chimanimani_s2_1019.h5,0,4716,5,11663,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1019.h5,3933,1214,3496,7741,0.4551,0.7641,0.5294,0.6255
chimanimani_s2_1295.h5,1834,3337,1273,9940,0.2846,0.3547,0.5903,0.4431
chimanimani_s2_1390.h5,1589,4230,340,10225,0.2580,0.2731,0.8237,0.4102
