tile,tp,fp,fn,tn,iou,precision,recall,f1
chimanimani_s2_1264.h5,0,14863,0,1521,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_1223.h5,304,12414,0,3666,0.0239,0.0239,1.0000,0.0467
chimanimani_s2_1295.h5,0,11255,0,5129,0.0000,0.0000,0.0000,0.0000
chimanimani_s2_126.h5,2273,11156,0,2955,0.1693,0.1693,1.0000,0.2895
chimanimani_s2_1390.h5,2700,10795,7,2882,0.2000,0.2001,0.9974,0.3333
chimanimani_s2_1223.h5,987,10118,71,5208,0.0883,0.0889,0.9329,0.1623
chimanimani_s2_126.h5,542,9809,288,5745,0.0509,0.0524,0.6530,0.0970
chimanimani_s2_1019.h5,1138,8726,23,6497,0.1151,0.1154,0.9802,0.2064
chimanimani_s2_1041.h5,409,8673,75,7227,0.0447,0.0450,0.8450,0.0855
chimanimani_s2_1264.h5,3480,8393,181,4330,0.2887,0.2931,0.9506,0.4480
chimanimani_s2_1295.h5,2326,5916,2179,5963,0.2232,0.2822,0.5163,0.3649
chimanimani_s2_1222.h5,911,7878,153,7442,0.1019,0.1037,0.8562,0.1849
chimanimani_s2_1264.h5,428,7443,116,8397,0.0536,0.0544,0.7868,0.1017
chimanimani_s2_1222.h5,3355,5809,1415,5805,0.3171,0.3661,0.7034,0.4816
chimanimani_s2_1390.h5,314,7009,195,8866,0.0418,0.0429,0.6169,0.0802
chimanimani_s2_1295.h5,3903,6209,435,5837,0.3701,0.3860,0.8997,0.5402
chimanimani_s2_1390.h5,1054,5831,802,8697,0.1371,0.1531,0.5679,0.2412
chimanimani_s2_1264.h5,3118,1319,5297,6650,0.3203,0.7027,0.3705,0.4852
chimanimani_s2_1019.h5,636,6339,194,9215,0.0887,0.0912,0.7663,0.1630
chimanimani_s2_126.h5,89,6385,47,9863,0.0136,0.0137,0.6544,0.0269
chimanimani_s2_1222.h5,1332,6412,19,8621,0.1716,0.1720,0.9859,0.2929
chimanimani_s2_126.h5,2596,604,5816,7368,0.2879,0.8112,0.3086,0.4471
chimanimani_s2_1019.h5,1783,4544,1788,8269,0.2197,0.2818,0.4993,0.3603
chimanimani_s2_1390.h5,1467,1451,4622,8844,0.1946,0.5027,0.2409,0.3257
chimanimani_s2_1223.h5,187,5884,0,10313,0.0308,0.0308,1.0000,0.0598
chimanimani_s2_1295.h5,347,5509,269,10259,0.0567,0.0593,0.5633,0.1072
chimanimani_s2_1222.h5,215,4994,768,10407,0.0360,0.0413,0.2187,0.0694
chimanimani_s2_1222.h5,2828,3996,1725,7835,0.3308,0.4144,0.6211,0.4971
chimanimani_s2_126.h5,575,4562,1159,10088,0.0913,0.1119,0.3316,0.1674
chimanimani_s2_1041.h5,119,5705,0,10560,0.0204,0.0204,1.0000,0.0400
chimanimani_s2_1264.h5,1233,5059,631,9461,0.1781,0.1960,0.6615,0.3024
chimanimani_s2_1390.h5,709,817,4834,10024,0.1115,0.4646,0.1279,0.2006
chimanimani_s2_1390.h5,1436,4768,823,9357,0.2044,0.2315,0.6357,0.3394
chimanimani_s2_1041.h5,1875,1014,4533,8962,0.2526,0.6490,0.2926,0.4034
chimanimani_s2_1041.h5,104,4766,711,10803,0.0186,0.0214,0.1276,0.0366
chimanimani_s2_1295.h5,2510,1451,3783,8640,0.3241,0.6337,0.3989,0.4896
chimanimani_s2_1223.h5,517,4927,289,10651,0.0902,0.0950,0.6414,0.1654
chimanimani_s2_1222.h5,2450,4519,687,8728,0.3200,0.3516,0.7810,0.4849
chimanimani_s2_1223.h5,137,4557,648,11042,0.0256,0.0292,0.1745,0.0500
chimanimani_s2_126.h5,1229,5117,23,10015,0.1930,0.1937,0.9816,0.3235
chimanimani_s2_1223.h5,547,4826,291,10720,0.0966,0.1018,0.6527,0.1761
chimanimani_s2_1390.h5,60,5084,2,11238,0.0117,0.0117,0.9677,0.0231
chimanimani_s2_1223.h5,3193,2180,2891,8120,0.3864,0.5943,0.5248,0.5574
chimanimani_s2_1390.h5,2677,2450,2609,8648,0.3460,0.5221,0.5064,0.5142
chimanimani_s2_1295.h5,13,5044,13,11314,0.0026,0.0026,0.5000,0.0051
chimanimani_s2_1019.h5,2937,942,4085,8420,0.3688,0.7572,0.4183,0.5388
chimanimani_s2_1222.h5,471,4888,121,10904,0.0859,0.0879,0.7956,0.1583
chimanimani_s2_1222.h5,217,4827,105,11235,0.0421,0.0430,0.6739,0.0809
chimanimani_s2_1390.h5,55,4892,32,11405,0.0110,0.0111,0.6322,0.0219
chimanimani_s2_1041.h5,895,4154,765,10570,0.1539,0.1773,0.5392,0.2668
chimanimani_s2_1390.h5,4234,2990,1871,7289,0.4655,0.5861,0.6935,0.6353
chimanimani_s2_1264.h5,1953,3082,1717,9632,0.2892,0.3879,0.5322,0.4487
chimanimani_s2_126.h5,1678,4306,475,9925,0.2598,0.2804,0.7794,0.4124
chimanimani_s2_1019.h5,3918,1246,3511,7709,0.4516,0.7587,0.5274,0.6223
chimanimani_s2_126.h5,1713,2576,2151,9944,0.2660,0.3994,0.4433,0.4202
chimanimani_s2_1019.h5,51,4532,154,11647,0.0108,0.0111,0.2488,0.0213
chimanimani_s2_1295.h5,1817,3292,1290,9985,0.2840,0.3556,0.5848,0.4423
chimanimani_s2_126.h5,1976,622,3956,9830,0.3015,0.7606,0.3331,0.4633
